"doeblin_diebeidenfreundinnenundihrgiftmord" "doeblin_dieermordungeinerbutterblumeundandereerzählungen" "doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten" "hesse_diesseitserzählungen" "hesse_knulpdreigeschichtenausdemlebenknulps" "hesse_märchen" "hesse_nachbarnerzählungen" "hesse_schönistdiejugendzweierzählungen" "hesse_umwegeerzählungen" "kafka_beschreibungeineskampfes" "kafka_dasschloß" "kafka_dasurteil" "kafka_derbau" "kafka_derprozess" "kafka_derverschollene" "kafka_dieverwandlung" "kafka_forschungeineshundes" "kafka_Hungerkünstler" "kafka_inderstrafkolonie" "kafkaAmt_Arbeiter-VersicherungUnternehmer154" "kafkaAmt_Brief132" "kafkaAmt_BriefandenVorstand133" "kafkaAmt_KriegslageGefahrenklassen281" "kafkaAmt_RedeAmtseinsetzungdesDirektors121" "kafkaAmt_UnfallverhuetungErsteHilfe267" "mannH_dieehrgeizigenovelle" "mannH_dietoteundanderenovellen" "mannH_flötenunddolchenovellen" "mannT_derkleineherrfriedemannnovellen" "mannT_dertodinvenedig" "mannT_gladiusdeischwerestunde" "mannT_toniokröger" "walser_derspaziergang" "walser_dieschlachtbeisempach" "walser_geschichten" "walser_kleinedichtungen"
"kommen" 0.212089077412513 0.188235294117647 0.486795667518559 0.376057662174867 0.502958579881657 0.296465222348917 0.345966346909891 0.298126064735945 0.377833753148615 0.524658971668416 0.588338602037232 1.02040816326531 0.340136054421769 0.453537593227172 0.440680895187073 0.375312760633862 0.304321363359708 0.75187969924812 0.291757840991977 0.75187969924812 0 0 0.99009900990099 0 0 0.136612021857924 0.297619047619048 0.227346541084768 0.234986945169713 0.100806451612903 0 0.602182913059842 0.240269101393561 0.36231884057971 0.549903766840803 0.287651530717074
"gehen" 0.247437256981265 0.494117647058824 0.462455884142631 0.438733939204011 0.710059171597633 0.843785632839225 0.298789117785815 0.511073253833049 0.35264483627204 0.262329485834208 0.491745697225149 0 0.272108843537415 0.141100584559565 0.423399291454247 0.208507089241034 0.304321363359708 0 0.218818380743982 0.75187969924812 0 0 0 0 0 0 0.223214285714286 0.16239038648912 0.443864229765013 0.30241935483871 0.424178154825027 0.338727888596161 0.432484382508409 0.36231884057971 0.357437448446522 0.513663447709061
"zog" 0.247437256981265 0.705882352941177 0.730193501277839 0.517079285490442 0.650887573964497 0.273660205245154 0.377417832992609 0.383304940374787 0.541561712846348 0.314795383001049 0.228310502283105 0.816326530612245 0 0.413223140495868 0.43204009332066 0.250208507089241 0.0608642726719416 0 0.656455142231947 0.37593984962406 0 0 0 0 0 0.409836065573771 0.446428571428571 0.259824618382592 0.261096605744125 0.134408602150538 0.424178154825027 0.263455024463681 0.0480538202787122 0.36231884057971 0.0824855650261204 0.349291144442161
"rief" 0.0706963591375044 0.141176470588235 0.304247292199099 0.313381385145722 0.621301775147929 0.706955530216648 0.345966346909891 0.298126064735945 0.289672544080605 0.262329485834208 0.403933965577801 1.42857142857143 0 0.614795404152389 0.769031366110775 0.917431192660551 0.0608642726719416 0 0.291757840991977 0 0 0 0 0 0 0.273224043715847 0.446428571428571 0.389736927573888 0.182767624020888 0.134408602150538 0.212089077412513 0.15054572826496 0.240269101393561 0.36231884057971 0.0549903766840803 0.0205465379083624
"blieb" 0.565570873100035 0.635294117647059 0.340756967262991 0.376057662174867 0.591715976331361 0.387685290763968 0.660481207737066 0.425894378194208 0.44080604534005 0.367261280167891 0.360028099754127 0.612244897959184 0.136054421768707 0.332594235033259 0.224660848526743 0.625521267723103 0.182592818015825 1.00250626566416 0.218818380743982 0 0 0 0.247524752475248 0 0 0.546448087431694 0.669642857142857 0.292302695680416 0.443864229765013 0.336021505376344 0.31813361611877 0.11290929619872 0.0480538202787122 0.36231884057971 0.164971130052241 0.349291144442161
"weiß" 0.176740897843761 0.188235294117647 0.170378483631496 0.454403008461297 0.710059171597633 0.456100342075257 0.283063374744457 0.468483816013629 0.151133501259446 0.577124868835257 0.579557428872497 1.02040816326531 0.816326530612245 0.352751461398912 0.319709669057289 0.166805671392827 0.426049908703591 0 0.583515681983953 0 0 0 0 0 0 0.136612021857924 0.967261904761905 0.909386164339071 0 0.134408602150538 0.31813361611877 0.301091456529921 0.624699663623258 0.36231884057971 0.522408578498763 0.431477296075611
"dachte" 0.706963591375044 0.141176470588235 0.194718267007424 0.689439047320589 0.798816568047337 0.342075256556442 0.283063374744457 0.468483816013629 0.365239294710327 0.262329485834208 0.140498770635757 0.612244897959184 0.0680272108843537 0.453537593227172 0.423399291454247 0.834028356964137 0.182592818015825 0 0 0 0 0 0 0 0 0.409836065573771 0.446428571428571 0.259824618382592 0.31331592689295 0.806451612903226 0 0.526910048927362 0.336376741950985 0.36231884057971 0.164971130052241 0.349291144442161
"saß" 0.565570873100035 0.847058823529412 0.559815017646343 0.5640864932623 0.266272189349112 0.615735461801596 0.660481207737066 0.425894378194208 0.403022670025189 0.577124868835257 0.23709167544784 0.612244897959184 0 0.241886716387825 0.146893631729024 0.208507089241034 0 0.50125313283208 0.0729394602479942 0 0 0 0 0 0 0.409836065573771 0.223214285714286 0.357258850276064 0 0.638440860215054 0.212089077412513 0.526910048927362 0.0480538202787122 0.36231884057971 0.247456695078361 0.369837682350524
"fand" 0.388829975256274 0.329411764705882 0.194718267007424 0.470072077718584 0.266272189349112 0.661345496009122 0.7233841799025 0.468483816013629 0.831234256926952 0.314795383001049 0.114155251141553 0 0 0.161257810925217 0.276505659725223 0.250208507089241 0.426049908703591 0.50125313283208 0.218818380743982 0.37593984962406 0 0 0 0 0.282485875706215 0.409836065573771 0.520833333333333 0.32478077297824 0.10443864229765 0.604838709677419 0 0.225818592397441 0.144161460836136 0.72463768115942 0.219961506736321 0.246558454900349
"hörte" 0.388829975256274 0.588235294117647 0.292077400511135 0.517079285490442 0.414201183431953 0.547320410490308 0.377417832992609 0.425894378194208 0.251889168765743 0.629590766002099 0.263435194942044 0 0.136054421768707 0.272122555936303 0.509807310118379 0.500417014178482 0.426049908703591 0 0.437636761487965 0 0 0 0 0 0 0.409836065573771 0.595238095238095 0.227346541084768 0.0783289817232376 0.0672043010752688 0 0.188182160331201 0.144161460836136 0 0.0824855650261204 0.308198068625437
"tun" 0.212089077412513 0.117647058823529 0.292077400511135 0.454403008461297 0.443786982248521 0.364880273660205 0.36169208995125 0.170357751277683 0.579345088161209 0.367261280167891 0.377590446083597 0.204081632653061 0.612244897959184 0.362830074581738 0.354272876522941 0.291909924937448 0.608642726719416 0.50125313283208 0.218818380743982 0.37593984962406 0 0 0 0 0 0.136612021857924 0.148809523809524 0.357258850276064 0 0.168010752688172 0.212089077412513 0.15054572826496 0.240269101393561 0 0.412427825130602 0.267104992808712
"wußte" 0.530222693531283 0.423529411764706 0.0851892418157478 0.611093701034159 0.29585798816568 0.433295324971494 0.471772291240761 0.340715502555366 0.579345088161209 0.314795383001049 0.298559887600984 0 0.0680272108843537 0.302358395484781 0.311068867190875 0.375312760633862 0.243457090687766 0.75187969924812 0.0729394602479942 0 0 0 0 0 0 0.409836065573771 0.446428571428571 0.454693082169536 0 0.201612903225806 0.31813361611877 0.376364320662401 0.0480538202787122 0 0.109980753368161 0.0821861516334498
"fühlte" 0.530222693531283 0.188235294117647 0.133868808567604 0.48574114697587 0.266272189349112 0.980615735461802 0.534675263406196 0.511073253833049 0.35264483627204 0.157397691500525 0.0614682121531437 0.204081632653061 0.136054421768707 0.161257810925217 0.21602004666033 0.500417014178482 0.182592818015825 0.25062656641604 0.218818380743982 0 0 0 0 0 0 0.136612021857924 0.595238095238095 0.389736927573888 0.365535248041775 0.403225806451613 0.31813361611877 0.225818592397441 0.192215281114849 0 0.0549903766840803 0.308198068625437
"tat" 0.565570873100035 0.0705882352941176 0.146038700255568 0.673769978063303 0.650887573964497 0.501710376282782 0.456046548199402 0.596252129471891 0.730478589420655 0.209863588667366 0.166842290129961 0 0.204081632653061 0.151179197742391 0.155534433595438 0.0834028356964137 0.182592818015825 0.25062656641604 0.218818380743982 0 0 0 0 0 0 0 0.148809523809524 0.129912309191296 0 0.537634408602151 0.212089077412513 0.263455024463681 0 0 0.0274951883420401 0.287651530717074
"geworden" 0.106044538706257 0.211764705882353 0.133868808567604 0.407395800689439 0.562130177514793 0.592930444697834 0.377417832992609 0.851788756388416 0.377833753148615 0.104931794333683 0.201966982788901 0.204081632653061 0.340136054421769 0.131021971376739 0.164175235461851 0.333611342785655 0.182592818015825 0 0 0 0 0 0.247524752475248 0 0 0.273224043715847 0.0744047619047619 0.227346541084768 0.182767624020888 0.168010752688172 0.31813361611877 0.263455024463681 0.240269101393561 2.53623188405797 0.742370085235084 0.205465379083624
