"doeblin_diebeidenfreundinnenundihrgiftmord" "doeblin_dieermordungeinerbutterblumeundandereerzählungen" "doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten" "hesse_diesseitserzählungen" "hesse_knulpdreigeschichtenausdemlebenknulps" "hesse_märchen" "hesse_nachbarnerzählungen" "hesse_schönistdiejugendzweierzählungen" "hesse_umwegeerzählungen" "kafka_beschreibungeineskampfes" "kafka_dasschloß" "kafka_dasurteil" "kafka_derbau" "kafka_derprozess" "kafka_derverschollene" "kafka_dieverwandlung" "kafka_forschungeineshundes" "kafka_Hungerkünstler" "kafka_inderstrafkolonie" "kafkaAmt_Arbeiter-VersicherungUnternehmer154" "kafkaAmt_Brief132" "kafkaAmt_BriefandenVorstand133" "kafkaAmt_KriegslageGefahrenklassen281" "kafkaAmt_RedeAmtseinsetzungdesDirektors121" "kafkaAmt_UnfallverhuetungErsteHilfe267" "mannH_dieehrgeizigenovelle" "mannH_dietoteundanderenovellen" "mannH_flötenunddolchenovellen" "mannT_derkleineherrfriedemannnovellen" "mannT_dertodinvenedig" "mannT_gladiusdeischwerestunde" "mannT_toniokröger" "walser_derspaziergang" "walser_dieschlachtbeisempach" "walser_geschichten" "walser_kleinedichtungen"
"kopf" 0.308959835221421 0.977198697068404 0.694295326032496 0.33972602739726 0.613218260277084 0.285242456087675 0.282201169119129 0.305385896724042 0.204723258024421 1.0771219302025 0.225913621262458 0.418994413407821 0.104004160166407 0.388630648479768 0.336235364755329 0.951048951048951 0.355691056910569 0.326797385620915 0.674974039460021 0 0 0 0 0 0 0 0.457404230989137 0.627323420074349 0.505874673629243 0.253592561284869 0.55005500550055 0.39008719596145 0.094488188976378 0.196850393700787 0.53781512605042 0.309472551130248
"zimmer" 0.185375901132853 0.843944329286349 0.279149667167705 0.131506849315068 0 0.135114847620477 0.0907075186454344 0.0832870627429206 0.146230898588872 0.3446790176648 0.498338870431894 0.837988826815642 0 0.746780461784653 0.720504353047133 1.87412587412587 0 0 0 0 0 0 0 0 0 0.462534690101758 1.02915951972556 0.371747211895911 0.244778067885117 0.152155536770921 0.165016501650165 0.321248279027077 0 0 0.26890756302521 0.322927879440258
"mutter" 1.31822863027806 0.26650873556411 0.336411137355952 0.394520547945205 0.113558937088349 0.735625281489266 0.86676073372304 0.583009439200444 0.109673173941654 0.0861697544161999 0.365448504983389 1.11731843575419 0 0 0.312218552987091 2.54545454545455 0.152439024390244 0 0 0 0 0 0 0 0 0 0.114351057747284 0.0464684014869888 0.391644908616188 0.084530853761623 0.11001100110011 0.367140890316659 0 0 0.100840336134454 0.242195909580194
"leben" 0.247167868177137 0.118448326917382 0.0429461026411853 0.493150684931507 0.476947535771065 0.615523194715508 0.715581535980649 0.583009439200444 0.584923594355487 0.1723395088324 0.192691029900332 0 0.728029121164847 0.0381010439686047 0.102071450015011 0.27972027972028 1.27032520325203 0.326797385620915 0.207684319833853 0 0 0 0.0886524822695035 0 0.0699300699300699 0.555041628122109 0.343053173241852 0.697026022304833 0.587467362924282 0.287404902789518 0.165016501650165 0.458926112895824 0.377952755905512 0.393700787401575 0.38655462184874 0.52475780409042
"tür" 0.0411946446961895 0.547823511992893 0.307780402261828 0.175342465753425 0.113558937088349 0.135114847620477 0.0503930659141302 0.0277623542476402 0.0511808145061051 0.0430848772081 0.491694352159468 0 0.104004160166407 1.32591633010745 0.54037826478535 1.56643356643357 0 0.163398692810458 0.103842159916926 0 0 0 0 0 0 0.370027752081406 0.743281875357347 0.325278810408922 0 0.0507185122569738 0.22002200220022 0.229463056447912 0 0 0.0168067226890756 0.0403659849300323
"menschen" 0.308959835221421 0.547823511992893 0.264834299620643 0.153424657534247 0.317965023847377 0.840714607416304 0.10078613182826 0.222098833981122 0.241280982671639 0.517018526497199 0.0930232558139535 0.279329608938547 0 0.167644593461861 0.144100870609427 0.13986013986014 0 0.326797385620915 0.103842159916926 0 0 0 0 0 0.0699300699300699 0.185013876040703 0.457404230989137 0.302044609665428 0.505874673629243 0.304311073541843 0.11001100110011 0.504818724185406 0.62992125984252 1.96850393700787 1.12605042016807 0.820775026910657
"vater" 0.576725025746653 0.0148060408646728 0.200415145658865 0.471232876712329 0.272541449012037 0.165140369313917 0.665188470066519 0.638534147695725 0.212034802953864 0 0.637873754152824 6.28491620111732 0 0.0381010439686047 0.132092464725308 2.54545454545455 0 0 0 0 0 0 0 0 0 0 0 0.0464684014869888 0.310052219321149 0 0 0.229463056447912 0.031496062992126 0 0.252100840336134 0.148008611410118
"mädchen" 0.0205973223480947 0.325732899022801 0.286307350941235 0.482191780821918 0.408812173518056 0.465395586248311 0.231808103204999 0.555247084952804 0.358265701542736 1.0771219302025 0.239202657807309 0.418994413407821 0 0.487693362798141 0.126088261783248 0.167832167832168 0 0 0 0 0 0 0 0 0 0 0.343053173241852 0.20910780669145 0.261096605744125 0.135249366018597 0.275027502750275 0.206516750803121 0.251968503937008 0.196850393700787 0.302521008403361 0.322927879440258
"nacht" 0.102986611740474 0.384957062481492 0.143153675470618 0.482191780821918 0.476947535771065 0.345293499474553 0.161257810925217 0.222098833981122 0.146230898588872 0.732442912537699 0.325581395348837 0.139664804469274 0.260010400416017 0.121923340699535 0.360252176523567 0.195804195804196 0.101626016260163 0.816993464052288 0.103842159916926 0 0 0 0 0 0 0.277520814061055 0.571755288736421 0.4182156133829 0.163185378590078 0.135249366018597 0.165016501650165 0.160624139513538 0 0.196850393700787 0.403361344537815 0.632400430570506
"stadt" 0 0.503405389398875 0.286307350941235 0.263013698630137 0.363388598682716 0.480408347095031 0.574480951421084 0.583009439200444 0.402134971119398 0.1723395088324 0 0 0 0.0152404175874419 0.126088261783248 0.0839160839160839 0 0.326797385620915 0 0 0 0 0 0 0 1.11008325624422 0.228702115494568 0.325278810408922 0.554830287206266 0.456466610312764 0.33003300330033 0.344194584671868 0 0 0.26890756302521 0.430570505920344
"leute" 0 0.0888362451880367 0.135995991697087 0.317808219178082 0.317965023847377 0.270229695240955 0.503930659141302 0.0832870627429206 0.226657892812751 0.517018526497199 0.272425249169435 0 0 0.381010439686047 0.372260582407685 0.0559440559440559 0 0.163398692810458 0 0 0 0 0 0 0 0.462534690101758 0.28587764436821 0.0929368029739777 0.244778067885117 0.0507185122569738 0.495049504950495 0.321248279027077 0.283464566929134 0.196850393700787 0.285714285714286 0.578579117330463
"arbeit" 0.082389289392379 0.0296120817293456 0.0429461026411853 0.0767123287671233 0.227117874176698 0.0750638042335986 0.312437008667607 0.111049416990561 0.329019521824962 0 0.564784053156146 0 2.18408736349454 0.464832736416978 0.396277394175923 0.195804195804196 0.254065040650407 0.163398692810458 0.571131879543095 0 0 0 1.68439716312057 2.96296296296296 0 0 0.114351057747284 0.116171003717472 0.0489556135770235 0.118343195266272 0.22002200220022 0.114731528223956 0.031496062992126 0 0.0672268907563025 0.215285252960172
"art" 0.720906282183316 0.0888362451880367 0.135995991697087 0.273972602739726 0.0681353622530093 0.0750638042335986 0.342672848216085 0.360910605219323 0.248592527601082 0.1292546316243 0.245847176079734 0 0.46801872074883 0.144783967080698 0.144100870609427 0.0839160839160839 0.863821138211382 0 0.0519210799584631 0.264200792602378 0 1.81818181818182 0.177304964539007 0.740740740740741 0.34965034965035 0 0.171526586620926 0.0464684014869888 0.571148825065274 0.304311073541843 0 0.596603946764571 0.62992125984252 0.196850393700787 0.235294117647059 0.417115177610334
"hause" 0.473738414006179 0.192478531240746 0.207572829432396 0.295890410958904 0.181694299341358 0.165140369313917 0.292279782301955 0.416435313714603 0.358265701542736 0.0430848772081 0.27906976744186 0.558659217877095 0.15600624024961 0.205745637430466 0.264184929450615 0.335664335664336 0 0 0.103842159916926 0 0 0 0 0 0 0.647548566142461 0.114351057747284 0.371747211895911 0.293733681462141 0.084530853761623 0.055005500550055 0.481872418540615 0.125984251968504 0 0.218487394957983 0.296017222820237
"welt" 0.082389289392379 0.0740302043233639 0.114522940376494 0.219178082191781 0.136270724506019 0.840714607416304 0.191493650473695 0.305385896724042 0.292461797177744 0 0.0465116279069767 0.418994413407821 0.364014560582423 0.0533414615560466 0.102071450015011 0.027972027972028 0.40650406504065 0.816993464052288 0 0 0 0 0 0.740740740740741 0 0.740055504162812 0.0571755288736421 0.580855018587361 0.293733681462141 0.270498732037194 0.495049504950495 0.367140890316659 0.503937007874016 0.196850393700787 0.621848739495798 0.834230355220667
"fenster" 0.102986611740474 0.473793307669529 0.314938086035359 0.252054794520548 0.317965023847377 0.225191412700796 0.171336424108043 0.360910605219323 0.109673173941654 0.1723395088324 0.172757475083056 0.698324022346369 0 0.396250857273489 0.234163914740318 0.559440559440559 0 0 0 0 0 0 0 0 0 0.185013876040703 0.28587764436821 0.116171003717472 0.277415143603133 0.084530853761623 0.88008800880088 0.229463056447912 0.062992125984252 0 0.184873949579832 0.444025834230355
"tag" 0.288362512873326 0.133254367782055 0.200415145658865 0.284931506849315 0.522371110606405 0.345293499474553 0.292279782301955 0.416435313714603 0.255904072530526 0.430848772081 0.312292358803987 0 0.208008320332813 0.167644593461861 0.222155508856199 0.251748251748252 0.254065040650407 0.163398692810458 0.155763239875389 0 0 0 0 0 0 0.185013876040703 0 0.162639405204461 0.261096605744125 0.101437024513948 0.055005500550055 0.298301973382285 0.15748031496063 0 0.168067226890756 0.34983853606028
"augenblick" 0.0205973223480947 0.192478531240746 0.0930498890559015 0.416438356164384 0.249829661594367 0.345293499474553 0.151179197742391 0.222098833981122 0.204723258024421 0.1292546316243 0.152823920265781 0.558659217877095 0.31201248049922 0.198125428636745 0.372260582407685 0.391608391608392 0.101626016260163 0.163398692810458 0.207684319833853 0.132100396301189 0 0 0 0 0 0.185013876040703 0.228702115494568 0.302044609665428 0.522193211488251 0.21978021978022 0.055005500550055 0.0458926112895824 0.346456692913386 0 0.252100840336134 0.0403659849300323
"haus" 0.164778578784758 0.192478531240746 0.171784410564741 0.383561643835616 0.476947535771065 0.315267977781114 0.292279782301955 0.499722376457524 0.248592527601082 0.2585092632486 0.239202657807309 0 0.520020800832033 0.0609616703497676 0.150105073551486 0 0 0 0 0 0 0 0.0886524822695035 0 0 0.555041628122109 1.0863350485992 0.302044609665428 0.179503916449086 0.0169061707523246 0.055005500550055 0.160624139513538 0.283464566929134 0 0.0336134453781513 0.363293864370291
